PMG PRG Trainsize N value sd se ci Trait
0%MG 0%RG 2.5%geno 50 18.9049586208485 1.25931343326491 0.178093813660187 0.35789291781742 Aggregate_breeding_value
0%MG 0%RG 5%geno 50 19.0603942250909 1.29569801447754 0.183239370481403 0.368233301386579 Aggregate_breeding_value
0%MG 0%RG 10%geno 50 19.5037528654546 1.244378664085 0.175981718347672 0.353648503378935 Aggregate_breeding_value
0%MG 0%RG 20%geno 50 19.9681743687273 1.18895866345012 0.168144146695214 0.337898313466929 Aggregate_breeding_value
0%MG 25%RG 2.5%geno 50 18.3914575917576 1.36080968242353 0.192447550869199 0.386737832672911 Aggregate_breeding_value
0%MG 25%RG 5%geno 50 19.0795635637576 1.36869283054579 0.193562396368068 0.388978198580664 Aggregate_breeding_value
0%MG 25%RG 10%geno 50 19.6214506575758 1.25256186894762 0.177138998277711 0.355974144468767 Aggregate_breeding_value
0%MG 25%RG 20%geno 50 20.224327296 1.06394515836451 0.150464567258028 0.3023698684271 Aggregate_breeding_value
0%MG 50%RG 2.5%geno 50 18.4843972155152 1.26993227996373 0.179595545362009 0.360910760658214 Aggregate_breeding_value
0%MG 50%RG 5%geno 50 18.7027351867879 1.23691226587114 0.174925810186061 0.351526576484677 Aggregate_breeding_value
0%MG 50%RG 10%geno 50 19.211744184 1.19106934024666 0.16844264147036 0.338498161175475 Aggregate_breeding_value
0%MG 50%RG 20%geno 50 19.7075226390303 1.32914200779745 0.187969065374696 0.377737979123317 Aggregate_breeding_value
0%MG 75%RG 2.5%geno 50 18.5309753127273 1.49181185785171 0.210974056188289 0.423968238992699 Aggregate_breeding_value
0%MG 75%RG 5%geno 50 18.6311843867879 1.23267456955617 0.174326509425876 0.350322236517417 Aggregate_breeding_value
0%MG 75%RG 10%geno 50 19.3828674603637 1.37923778661976 0.195053678357511 0.391975041938226 Aggregate_breeding_value
0%MG 75%RG 20%geno 50 19.8449584384243 1.21658573932648 0.17205120523452 0.345749841557532 Aggregate_breeding_value
0%MG 100%RG 2.5%geno 50 17.9400929180606 1.20731866194528 0.170740642582915 0.34311616730616 Aggregate_breeding_value
0%MG 100%RG 5%geno 50 18.2545184547879 1.28972976698161 0.182395332826168 0.366537144215413 Aggregate_breeding_value
0%MG 100%RG 10%geno 50 18.6283411591515 0.946485952574242 0.133853327072611 0.26898833149248 Aggregate_breeding_value
0%MG 100%RG 20%geno 50 19.123971224 1.1660593323446 0.164905692233344 0.331390395573785 Aggregate_breeding_value
25%MG 0%RG 2.5%geno 50 18.9472955196364 1.28619407772283 0.181895310855958 0.365532312446058 Aggregate_breeding_value
25%MG 0%RG 5%geno 50 20.0674995506667 1.11436303106052 0.157594731193297 0.316698469308089 Aggregate_breeding_value
25%MG 0%RG 10%geno 50 21.5234465821818 0.926483448738316 0.131024545851992 0.263303682800269 Aggregate_breeding_value
25%MG 0%RG 20%geno 50 22.6799785202424 1.24042354342104 0.175422379819293 0.352524470523132 Aggregate_breeding_value
25%MG 25%RG 2.5%geno 50 19.1298985150303 1.07597606556958 0.152165994471734 0.305789014423541 Aggregate_breeding_value
25%MG 25%RG 5%geno 50 19.5874075481212 1.07575646844182 0.152134938748101 0.305726605610358 Aggregate_breeding_value
25%MG 25%RG 10%geno 50 21.0480234837576 1.10202423932714 0.155849762532034 0.313191823496848 Aggregate_breeding_value
25%MG 25%RG 20%geno 50 22.3757067248485 0.833100966643967 0.117818268585403 0.236764675030668 Aggregate_breeding_value
25%MG 50%RG 2.5%geno 50 18.832670433697 1.24776549337853 0.176460688339708 0.354611029614257 Aggregate_breeding_value
25%MG 50%RG 5%geno 50 19.4001675829091 1.07062875739397 0.15140977089732 0.304269326254666 Aggregate_breeding_value
25%MG 50%RG 10%geno 50 20.3282215507879 0.912115756676715 0.128992647354641 0.259220429895631 Aggregate_breeding_value
25%MG 50%RG 20%geno 50 21.5139128888485 0.963925365267177 0.136319632467628 0.273944557741505 Aggregate_breeding_value
25%MG 75%RG 2.5%geno 50 18.5337793059394 1.3072464398816 0.18487256446445 0.371515327572337 Aggregate_breeding_value
25%MG 75%RG 5%geno 50 19.0328868638788 1.12478566496682 0.159068714215892 0.319660549090244 Aggregate_breeding_value
25%MG 75%RG 10%geno 50 19.6454743726061 1.18518738232264 0.167610807003415 0.336826527229311 Aggregate_breeding_value
